image_name,xmin,xmax,ymin,ymax,class_id,score
acqui2_image_1331.png,36,46,3,12,person,0.9609375
acqui2_image_1331.png,50,62,30,44,person,0.953125
acqui2_image_1331.png,18,27,14,29,person,0.9453125
acqui2_image_1331.png,16,30,37,50,person,0.9453125
acqui2_image_1331.png,7,18,11,27,person,0.9375
acqui2_image_1331.png,0,16,31,49,person,0.8203125
acqui2_image_1331.png,18,27,20,22,person,0.7734375
room1_dataCollector0002_20210128_im_gap_20210128-08_40_04.png,3,12,29,38,person,0.9453125
room1_dataCollector0002_20210128_im_gap_20210128-08_40_04.png,51,61,53,63,person,0.9375
room1_dataCollector0002_20210126_im_gap_20210126-11_35_04.png,51,61,51,62,person,0.9609375
room1_dataCollector0002_20210126_im_gap_20210126-11_35_04.png,1,10,28,38,person,0.953125
room1_dataCollector0002_20210129_im_gap_20210129-13_50_04.png,3,12,30,38,person,0.953125
room1_dataCollector0002_20210129_im_gap_20210129-13_50_04.png,53,63,3,9,person,0.9375
acqui4_imag2_3538.png,8,24,45,69,person,0.78125
image_room2_1_88.png,42,61,53,70,person,0.8984375
image_room2_1_88.png,44,65,36,53,person,0.890625
room2_dataCollector0005_20210520_im_gap_20210520-15_20_03.png,15,31,31,45,person,0.953125
room1_dataCollector0002_20210128_im_gap_20210128-09_55_04.png,6,13,9,17,person,0.9453125
room1_dataCollector0002_20210128_im_gap_20210128-09_55_04.png,7,13,34,43,person,0.8828125
image_2_4293.png,56,78,21,35,person,0.96875
image_2_4293.png,4,23,31,43,person,0.96875
image_2_4293.png,47,62,50,64,person,0.96875
image_2_4293.png,45,61,66,79,person,0.96875
image_2_4293.png,51,67,35,46,person,0.9453125
room1_dataCollector0002_20210115_im_gap_20210115-09_40_04.png,51,62,50,62,person,0.96875
room1_dataCollector0002_20210128_im_gap_20210128-17_35_04.png,1,13,30,38,person,0.9296875
room1_dataCollector0006_20210129_im_gap_20210129-11_15_04.png,42,53,13,23,person,0.9765625
room1_dataCollector0006_20210129_im_gap_20210129-11_15_04.png,54,63,61,70,person,0.9765625
room2_dataCollector0005_20210518_im_gap_20210518-17_15_04.png,38,52,49,70,person,0.9609375
room1_dataCollector0006_20210127_im_gap_20210127-15_30_04.png,41,53,13,23,person,0.96875
room1_dataCollector0006_20210127_im_gap_20210127-15_30_04.png,38,45,70,78,person,0.875
image_4_2800.png,53,71,37,60,person,0.9296875
image_4_2800.png,56,70,15,35,person,0.8828125
image_250.png,58,66,14,21,person,0.9609375
image_250.png,48,60,54,65,person,0.9453125
image_250.png,17,24,4,9,person,0.765625
room2_dataCollector0005_20210518_im_gap_20210518-17_00_04.png,39,51,50,71,person,0.953125
room2_dataCollector0005_20210518_im_gap_20210518-17_00_04.png,26,35,5,26,person,0.8828125
acqui4_imag2_4417.png,15,32,17,31,person,0.96875
acqui4_imag2_4417.png,11,27,30,50,person,0.96875
acqui4_imag2_4417.png,45,66,39,56,person,0.8828125
room1_dataCollector0006_20210128_im_gap_20210128-10_30_04.png,42,53,13,24,person,0.9765625
room1_dataCollector0006_20210128_im_gap_20210128-10_30_04.png,9,15,59,66,person,0.8828125
room1_dataCollector0006_20210128_im_gap_20210128-10_30_04.png,14,23,72,77,person,0.8203125
room1_dataCollector0005_20210125_im_gap_20210125-08_40_04.png,22,30,65,74,person,0.9609375
room1_dataCollector0005_20210125_im_gap_20210125-08_40_04.png,68,74,58,65,person,0.90625
room1_dataCollector0005_20210128_im_gap_20210128-09_20_04.png,30,41,13,25,person,0.9375
